iter	Passed	Remaining
0	61	61069
1	61	30691
2	61	20547
3	62	15500
4	62	12458
5	63	10437
6	63	8988
7	63	7904
8	64	7068
9	64	6395
10	64	5842
11	65	5378
12	65	4985
13	66	4649
14	66	4358
15	66	4104
16	67	3881
17	67	3678
18	67	3499
19	68	3338
20	68	3191
21	68	3059
22	69	2939
23	69	2826
24	69	2724
25	70	2629
26	70	2544
27	70	2463
28	71	2388
29	71	2326
30	72	2263
31	72	2201
32	73	2144
33	73	2091
34	73	2038
35	74	1988
36	74	1942
37	74	1897
38	75	1854
39	75	1815
40	76	1777
41	76	1743
42	76	1709
43	77	1676
44	77	1646
45	77	1617
46	78	1589
47	78	1561
48	79	1534
49	79	1509
50	79	1484
51	80	1462
52	80	1440
53	81	1421
54	81	1400
55	81	1381
56	82	1361
57	82	1343
58	83	1324
59	83	1306
60	83	1289
61	84	1272
62	84	1256
63	84	1240
64	85	1225
65	85	1209
66	85	1195
67	86	1181
68	86	1167
69	86	1153
70	87	1140
71	87	1128
72	87	1116
73	88	1104
74	88	1092
75	88	1081
76	89	1070
77	89	1058
78	89	1048
79	90	1038
80	90	1030
81	91	1021
82	91	1010
83	91	1001
84	92	993
85	92	985
86	93	976
87	93	967
88	93	959
89	94	950
90	94	943
91	94	935
92	95	927
93	95	919
94	95	912
95	96	905
96	96	898
97	96	891
98	97	885
99	97	878
100	97	871
101	98	865
102	98	858
103	98	852
104	99	845
105	99	839
106	99	834
107	100	828
108	100	822
109	100	816
110	101	811
111	101	805
112	101	800
113	102	795
114	102	790
115	102	784
116	103	778
117	103	773
118	103	768
119	104	763
120	104	759
121	104	753
122	105	749
123	105	745
124	105	741
125	106	737
126	106	732
127	106	728
128	107	724
129	107	721
130	108	717
131	108	713
132	108	709
133	109	705
134	109	701
135	109	697
136	110	693
137	110	690
138	110	686
139	111	682
140	111	679
141	111	674
142	112	671
143	112	668
144	112	664
145	113	661
146	113	659
147	113	655
148	114	652
149	114	649
150	114	646
151	115	643
152	115	640
153	115	637
154	116	634
155	116	631
156	116	628
157	117	625
158	117	622
159	118	619
160	118	616
161	118	613
162	118	610
163	119	607
164	119	605
165	120	602
166	120	600
167	120	598
168	121	595
169	121	593
170	121	590
171	122	588
172	122	586
173	122	583
174	123	581
175	123	578
176	123	576
177	124	573
178	124	571
179	124	569
180	125	566
181	125	564
182	125	562
183	126	559
184	126	557
185	126	555
186	127	553
187	127	551
188	128	549
189	128	547
190	128	545
191	129	542
192	129	541
193	129	538
194	130	536
195	130	535
196	130	533
197	131	531
198	131	529
199	131	527
200	132	525
201	132	523
202	132	521
203	133	519
204	133	517
205	133	516
206	134	514
207	134	512
208	135	511
209	135	509
210	135	507
211	136	505
212	136	503
213	136	502
214	137	500
215	137	499
216	137	497
217	138	495
218	138	493
219	138	492
220	139	490
221	139	488
222	139	487
223	140	485
224	140	483
225	140	481
226	140	479
227	141	477
228	141	476
229	141	474
230	141	472
231	142	470
232	142	468
233	142	467
234	142	465
235	143	463
236	143	462
237	143	460
238	144	458
239	144	457
240	144	455
241	144	453
242	145	451
243	145	450
244	145	448
245	145	446
246	146	445
247	146	443
248	146	442
249	146	440
250	147	438
251	147	437
252	147	435
253	147	434
254	148	433
255	148	431
256	148	430
257	149	429
258	149	428
259	149	426
260	150	425
261	150	423
262	150	422
263	150	420
264	151	419
265	151	417
266	151	416
267	151	414
268	152	413
269	152	412
270	152	410
271	152	409
272	153	407
273	153	406
274	153	405
275	153	403
276	154	402
277	154	401
278	154	399
279	154	398
280	155	397
281	155	395
282	155	394
283	155	393
284	156	391
285	156	390
286	156	389
287	157	388
288	157	387
289	157	385
290	157	384
291	158	383
292	158	382
293	158	380
294	158	379
295	159	378
296	159	377
297	159	375
298	159	374
299	160	373
300	160	372
301	160	371
302	160	369
303	161	368
304	161	367
305	161	366
306	161	365
307	162	364
308	162	363
309	162	362
310	163	361
311	163	360
312	163	359
313	164	358
314	164	357
315	164	356
316	164	355
317	165	354
318	165	352
319	165	351
320	165	350
321	166	349
322	166	348
323	166	347
324	166	346
325	167	345
326	167	344
327	167	343
328	167	342
329	168	341
330	168	340
331	168	339
332	168	338
333	169	337
334	169	336
335	169	335
336	170	334
337	170	333
338	170	332
339	170	331
340	171	330
341	171	329
342	171	328
343	171	327
344	172	327
345	172	326
346	172	325
347	173	324
348	173	323
349	173	322
350	173	321
351	174	320
352	174	319
353	174	318
354	174	317
355	175	316
356	175	315
357	175	314
358	175	313
359	176	313
360	176	312
361	176	311
362	177	310
363	177	310
364	177	309
365	178	308
366	178	307
367	178	306
368	179	306
369	179	305
370	179	304
371	180	304
372	180	303
373	180	302
374	181	301
375	181	300
376	181	300
377	181	299
378	182	298
379	182	297
380	182	296
381	182	295
382	183	294
383	183	294
384	183	293
385	183	292
386	184	291
387	184	290
388	184	290
389	184	289
390	185	288
391	185	287
392	185	286
393	185	286
394	186	285
395	186	284
396	186	283
397	186	282
398	187	282
399	187	281
400	187	280
401	187	279
402	188	278
403	188	278
404	188	277
405	189	276
406	189	275
407	189	274
408	189	274
409	190	273
410	190	272
411	190	271
412	190	271
413	191	270
414	191	270
415	192	269
416	192	269
417	192	268
418	193	267
419	193	267
420	193	266
